Pin Name,Channel Number,Ball Number(s)
SDHOST_C0_CLK,12105,AF2
SDHOST_C0_CMD,12107,AF3
SPI1_D0,12213,AF4
SPI1_CS2,12902,AF5
SPI1_D3,13208,AF6
SPI1_CS4,12305,AF7
SPI1_MCLK,13001,AF8
SPI0_CS0,12711,AF9
MIPS_JTAG_TRST,10605,AF27
MIPS_JTAG_TDI,20115,AF28
IMG_JTAG_TMS,12408,AF29
IMG_JTAG_TDI,12410,AF30
PDM_PWM_3,10608,AF31
PDM_PWM_1,10607,AF32
UART0_CTS,20601,AF33
UART0_TXD,20501,AF34
I2C5_SCLK,20503,AF35
I2C6_SDAT,20315,AF36
I2C4_SDAT,20603,AF37
SPI1_D1,12106,AG1
SPI1_D2,12310,AG2
SPI1_CS3,12414,AG3
SPI0_D3,12313,AG4
SPI0_D0,12315,AG5
SPI1_CS0,12904,AG6
SPI0_CS4,10303,AG7
SPI0_MCLK,11803,AG8
SPI0_D2,12012,AG9
SPI0_CS3,13103,AG10
SPI0_CS1,12914,AG11
MIPS_JTAG_TDO,10109,AG27
MIPS_JTAG_TCK,20113,AG28
IMG_JTAG_TDO,10108,AG29
IMG_JTAG_TRST,10215,AG30
IMG_JTAG_TCK,20215,AG31
PDM_PWM_2,10213,AG32
PDM_PWM_0,10409,AG33
UART1_CTS,10708,AG34
UART1_TXD,10703,AG35
UART0_RXD,20316,AG36
I2C6_SCLK,10706,AG37
SPI0_CS2,13002,AH1
SPI1_CS1,12307,AH2
MIPS_JTAG_TMS,10311,AH27
UART1_RXD,20111,AH36
UART0_RTS,20313,AH37
DDR_1_DQ[26],12901,AJ1
DDR_1_DQ[28],12306,AJ2
SPI0_D1,13102,AJ6
DDR_1_VREFI_ZQ,11815,AJ8
SCAN_EN,12409,AJ17
DDR_0_A[0],10308,AJ24
DDR_0_VREFI_ZQ,10606,AJ31
UART1_RTS,20314,AJ33
DDR_0_BG[1],20701,AJ34
DDR_0_ZQ,20702,AJ35
DDR_0_DQ[3],20308,AJ36
DDR_0_DM[0],10707,AJ37
DDR_1_DQS[3],12906,AK1
DDR_1_DQ[30],12903,AK2
DDR_1_DTO[0],13106,AK4
DDR_1_ZQ,13010,AK9
SAFE_MODE,10404,AK17
DDR_0_BG[0],20211,AK31
DDR_0_ATO,10516,AK32
DDR_0_DTO[1],10115,AK33
DDR_0_ODT,10808,AK34
DDR_0_A[17],10705,AK35
DDR_0_DQ[1],20213,AK36
DDR_0_DQ[5],20310,AK37
DDR_1_DQS_N[3],12015,AL1
DDR_1_DQ[24],12908,AL2
DDR_1_BG[1],11809,AL8
DDR_1_A[12],12406,AL9
DDR_1_A[4],13009,AL11
DDR_1_A[6],10305,AL12
DDR_1_RAM_RST_N,11915,AL14
SYS_WAKE2,13116,AL17
RESETN_OUT,10309,AL20
CLK_OUT0,10208,AL21
DDR_0_A[9],10203,AL24
DDR_0_A[3],20214,AL27
DDR_0_DQ[7],20212,AL36
DDR_0_DQS_N[0],10514,AL37
DDR_1_DQ[29],12905,AM1
DDR_1_DQ[31],12910,AM2
DDR_1_ACT_N,12205,AM5
DDR_1_A[15],13005,AM6
DDR_1_A[10],12312,AM8
DDR_1_A[1],13012,AM9
DDR_1_A[11],12411,AM12
DDR_1_A[8],10408,AM14
SYS_WAKE1,13115,AM17
IR_DATA,12204,AM18
RESETN,10302,AM20
CLK_OUT1,13113,AM21
DDR_0_RAM_RST_N,20306,AM24
DDR_0_A[7],10101,AM26
DDR_0_A[2],10410,AM29
DDR_0_BA[0],10506,AM30
DDR_0_CS_N,10512,AM33
DDR_0_A[16],20707,AM34
DDR_0_ACT_N,20105,AM35
DDR_0_DQ[0],20102,AM36
DDR_0_DQS[0],10113,AM37
DDR_1_DM[3],13108,AN1
DDR_1_DQ[25],12207,AN2
DDR_1_DTO[1],13004,AN4
DDR_1_ODT,12110,AN5
DDR_1_CKE,11713,AN6
DDR_1_A[16],12915,AN8
DDR_1_BA[1],13016,AN9
DDR_1_A[3],12415,AN11
SYS_WAKE0,12403,AN17
SYS_WAKE3,10209,AN18
EXT_POWER0,10201,AN20
DDR_0_A[5],20114,AN27
DDR_0_DTO[0],20201,AN29
DDR_0_CK_N,20210,AN33
DDR_0_CK,10112,AN34
DDR_0_DQ[6],20101,AN36
DDR_0_DQ[2],20103,AN37
DDR_1_DQ[20],12907,AP1
DDR_1_DQ[27],12206,AP2
DDR_1_ATO,13013,AP5
DDR_1_CK,12112,AP6
DDR_1_CS_N,12416,AP8
DDR_1_A[14],20205,AP9
DDR_1_BG[0],12413,AP11
DDR_1_A[0],10301,AP12
DDR_1_A[7],13114,AP14
DDR_1_A[13],20107,AP15
TEST_EN,13112,AP17
EXT_POWER1,20305,AP20
DDR_0_A[8],20104,AP24
DDR_0_A[13],10312,AP26
DDR_0_A[6],20112,AP27
DDR_0_A[14],20207,AP29
DDR_0_A[12],10111,AP30
DDR_0_A[15],10508,AP32
DDR_0_DQ[11],10502,AP36
DDR_0_DQ[4],12215,AP37
DDR_1_DQ[18],10403,AR1
DDR_1_DQ[22],13006,AR2
DDR_1_CK_N,12913,AR6
DDR_1_A[17],20303,AR8
DDR_1_BA[0],12216,AR11
DDR_1_A[5],12412,AR12
DDR_1_A[2],20109,AR14
DDR_1_A[9],13015,AR15
SYS_WAKE4,13210,AR17
EXT_POWER2,10206,AR20
DDR_0_A[11],20203,AR26
DDR_0_A[1],10103,AR27
DDR_0_A[4],10110,AR29
DDR_0_BA[1],20206,AR30
DDR_0_A[10],10412,AR32
DDR_0_CKE,10411,AR33
DDR_0_DQ[9],20202,AR36
DDR_0_DM[1],12214,AR37
DDR_1_DQS[2],11802,AT1
DDR_1_DQ[16],13014,AT2
DDR_1_DQ[23],11712,AT3
DDR_1_DQ[17],13003,AT4
DDR_1_DQ[19],12405,AT5
DDR_1_DQ[14],12011,AT6
DDR_1_DQ[8],13007,AT7
DDR_1_DQ[15],12203,AT8
DDR_1_DQ[9],12311,AT9
DDR_1_DQ[11],13008,AT10
DDR_1_DQ[6],20208,AT11
DDR_1_DQ[0],12201,AT12
DDR_1_DQ[7],10405,AT13
DDR_1_DQ[1],12916,AT14
DDR_1_DQ[3],12202,AT15
XTAL1_OUT,10307,AT18
XTAL0_OUT,10207,AT19
DDR_0_DQ[28],13212,AT23
DDR_0_DQ[30],20106,AT24
DDR_0_DQ[24],13215,AT25
DDR_0_DQ[31],20108,AT26
DDR_0_DQ[25],13213,AT27
DDR_0_DQ[27],10105,AT28
DDR_0_DQ[22],20307,AT29
DDR_0_DQ[16],20309,AT30
DDR_0_DQ[23],12116,AT31
DDR_0_DQ[17],20204,AT32
DDR_0_DQ[19],12113,AT33
DDR_0_DQ[14],12115,AT34
DDR_0_DQ[8],12111,AT35
DDR_0_DQ[15],10806,AT36
DDR_0_DQ[13],12212,AT37
DDR_1_DQS_N[2],10401,AU1
DDR_1_DQ[21],10402,AU2
DDR_1_DM[2],12013,AU3
DDR_1_DQ[12],12407,AU4
DDR_1_DQ[10],12911,AU5
DDR_1_DQS[1],13214,AU6
DDR_1_DQS_N[1],13216,AU7
DDR_1_DQ[13],11709,AU8
DDR_1_DM[1],13011,AU9
DDR_1_DQ[4],11810,AU10
DDR_1_DQ[2],13110,AU11
DDR_1_DQS[0],11808,AU12
DDR_1_DQS_N[0],13111,AU13
DDR_1_DQ[5],10407,AU14
DDR_1_DM[0],10406,AU15
XTAL1_IN,10306,AU18
XTAL0_IN,10205,AU19
DDR_0_DQ[26],10107,AU23
DDR_0_DQS[3],10106,AU24
DDR_0_DQS_N[3],12101,AU25
DDR_0_DQ[29],20110,AU26
DDR_0_DM[3],11701,AU27
DDR_0_DQ[20],10801,AU28
DDR_0_DQ[18],10701,AU29
DDR_0_DQS[2],10511,AU30
DDR_0_DQS_N[2],20301,AU31
DDR_0_DQ[21],20302,AU32
DDR_0_DM[2],20209,AU33
DDR_0_DQ[12],10504,AU34
DDR_0_DQ[10],10805,AU35
DDR_0_DQS[1],10803,AU36
DDR_0_DQS_N[1],10807,AU37
RF_SPI_MISO,12701,B1
LOW_RATE_ADC_VIN3_N,11308,B2
LOW_RATE_ADC_VIN2_N,11307,B4
LOW_RATE_ADC_VIN7_N,11407,B5
LOW_RATE_ADC_VIN4_N,11304,B6
LOW_RATE_ADC_VIN6_P,11505,B7
AFE_DAC0_VOUTIN,231H-,B9
AFE_DAC1_VOUTQP,231F+,B10
AFE_ADC0_ANAPROBEI0,21305,B12
AFE_ADC1_VCMOUTI,11107,B15
MIPI_TX_DATAP0,11610,B21
MIPI_TX_DATAN1,11216,B22
MIPI_TX_CLKP,11614,B23
MIPI_TX_DATAN2,11515,B24
MIPI_TX_DATAN3,11511,B25
HDMI_TX_1_TMDSDATAN[2],11415,B26
HDMI_TX_1_TMDSDATAN[1],11115,B27
HDMI_TX_1_TMDSDATAN[0],11411,B28
HDMI_TX_1_TMDSCLKN,11008,B29
HDMI_TX_0_TMDSDATAN[2],11416,B30
HDMI_TX_0_TMDSDATAN[1],11103,B31
HDMI_TX_0_TMDSDATAN[0],11303,B32
HDMI_TX_0_TMDSCLKN,11316,B33
MIPI_RX_0_CLKP,11313,B34
MIPI_RX_1_DATAP0,11406,B35
MIPI_RX_0_DATAP3,11402,B36
MIPI_RX_1_DATAP1,11501,B37
RF_SPI_MOSI,21415,C1
RF_SPI_CLK,11508,C2
RF_SPI_BIDIR_OEN,11506,C3
LOW_RATE_ADC_VIN1_P,11702,C5
LOW_RATE_ADC_VIN4_P,11302,C6
AFE_DAC0_ANAPROBE,11210,C8
AFE_DAC1_VOUTIP,231G+,C11
AFE_ADC1_ANAPROBEI0,21401,C12
USB0_VBUS0,21111,C15
HDMI_TX_0_DDC_SDA,20909,C26
HDMI_TX_0_DDC_SCL,20912,C27
HDMI_RX_TMDSDATANA[0],11312,C29
MIPI_RX_0_DATAN2,11016,C33
MIPI_RX_1_DATAN2,11603,C37
RF_SPI_SS,11605,D1
LTC_SPI_BIDIR_OEN,12704,D2
LOW_RATE_ADC_VIN1_N,11704,D5
LOW_RATE_ADC_VIN5_P,11309,D6
AFE_DAC1_VOUTIN,231G-,D11
AFE_ADC0_ANAPROBEQ1,21303,D14
HDMI_TX_1_DDC_SDA,20902,D27
HDMI_RX_TMDSDATAPA[0],11310,D29
HDMI_RX_TMDSCLKNA,11012,D30
MIPI_RX_0_DATAP2,11014,D33
MIPI_RX_1_DATAP2,11601,D37
LTC_SPI_SS_RF,12601,E1
LTC_SPI_MOSI,11606,E2
EXT_BT_RXNTX,11215,E3
EXT_BT_PTI0,21414,E4
EXT_BT_CONFIRM,11213,E5
LOW_RATE_ADC_VIN5_N,11311,E6
AFE_DAC0_VOUTQN,231E-,E8
AFE_ADC0_ANAPROBEI1,21407,E11
AFE_ADC1_ANAPROBEI1,11110,E14
HDMI_RX_DDC_SDA,21011,E24
HDMI_RX_TMDSDATANA[2],11412,E26
HDMI_RX_TMDSDATANA[1],11007,E27
HDMI_RX_TMDSCLKPA,11010,E30
SENSOR_IF0_D0_N,11403,E32
SENSOR_IF0_D1_P,11201,E33
SENSOR_IF0_D2_N,10916,E34
SENSOR_IF0_D2_P,10914,E35
SENSOR_IF1_D9_N,10604,E36
LTC_SPI_SS_MDM,21416,F1
LTC_SPI_MISO,11608,F2
EXT_BT_MBSY,12706,F3
EXT_BT_PTI1,11212,F5
EXT_BT_DENY,11211,F6
AFE_DAC0_VOUTQP,231E+,F8
USB0_ID0,20906,F15
USB1_VBUS0,20904,F17
HDMI_RX_TMDSDATAPA[2],11410,F26
HDMI_RX_TMDSDATAPA[1],11005,F27
SENSOR_IF0_D0_P,11401,F32
SENSOR_IF0_D1_N,11203,F33
SENSOR_IF0_CLK_N,11108,F34
SENSOR_IF0_CLK_P,11106,F35
SENSOR_IF1_D12_N,10915,F36
SENSOR_IF1_D9_P,10602,F37
BT_BASEBAND_TO_MODEM_TX_EN,12607,G1
LTC_SPI_CLK,11804,G2
USB0_REFPADCLKP,11706,G15
USB1_ID0,21114,G17
USB1_REFPADCLKP,11602,G18
LVDS_TX_CLK_N,10904,G20
LVDS_TX_0_N,11512,G21
MIPI_RX_0_DATAN1,10415,G29
SENSOR_IF1_D14_P,11114,G36
SENSOR_IF1_D12_P,10913,G37
BT_MODEM_TO_BASEBAND_RX_DATA0,12702,H1
BT_BASEBAND_TO_MODEM_TX_EDR,11703,H2
BT_MODEM_TO_BASEBAND_RX_VALID,21413,H3
BT_BASEBAND_TO_MODEM_SYNC_P,11607,H4
BT_ENABLE_OSC,12708,H5
BT_BASEBAND_TO_MODEM_TX_DATA2,11112,H6
BT_BASEBAND_TO_MODEM_RX_EN,11207,H7
AFE_ADC1_ANAPROBEQ1,11105,H14
USB0_REFPADCLKM,11708,H15
USB1_REFPADCLKM,11604,H18
LVDS_TX_CLK_P,10902,H20
LVDS_TX_0_P,11510,H21
HDMI_RX_DDC_SCL,21012,H24
HDMI_TX_0_CEC,20901,H27
MIPI_RX_0_DATAP1,10413,H29
MIPI_RX_1_DATAN3,10815,H30
SENSOR_IF0_D3_N,10216,H31
SENSOR_IF1_D10_N,11104,H32
SENSOR_IF1_D10_P,11102,H33
SENSOR_IF1_CLK3_P,11502,H34
SENSOR_IF1_CLK3_N,11504,H35
SENSOR_IF1_D13_N,11004,H36
SENSOR_IF1_D14_N,11116,H37
BT_BASEBAND_TO_MODEM_RATE0,12606,J1
BT_MODEM_TO_BASEBAND_CLK,12603,J2
BT_BASEBAND_TO_MODEM_TX_DATA0,11705,J3
BT_MODEM_TO_BASEBAND_RX_DATA2,11707,J4
BT_BASEBAND_TO_MODEM_TX_DATA1,21408,J5
BT_ENABLE_RM,11209,J6
BT_MODEM_TO_BASEBAND_RX_DATA1,21304,J7
BT_BASEBAND_TO_MODEM_TX_VALID,21302,J8
AFE_ADC1_ANAPROBEQ0,11206,J14
USB0_XI,20908,J17
USB1_XO,21110,J18
LVDS_TX_3_N,12303,J20
LVDS_TX_2_P,10901,J21
HDMI_TX_1_DDC_SCL,21013,J24
AVCLK_OUT0,20914,J26
HDMI_TX_1_CEC,20907,J27
MIPI_RX_1_DATAP3,10813,J30
SENSOR_IF0_D3_P,10214,J31
SENSOR_IF1_D11_N,10503,J32
SENSOR_IF1_D11_P,10501,J33
SENSOR_IF1_D15_N,10603,J34
SENSOR_IF1_D15_P,10601,J35
SENSOR_IF1_CLK2_N,11015,J36
SENSOR_IF1_D13_P,11002,J37
WLAN_TX_ON1,12602,K1
BT_BASEBAND_TO_MODEM_RATE1,12605,K2
AFE_ADC0_VCMOUTQ,11208,K14
USB0_XO,20911,K17
USB1_XI,21301,K18
LVDS_TX_3_P,12301,K20
LVDS_TX_2_N,10903,K21
XTAL2_OUT,10912,K23
AVCLK_OUT1,21010,K26
HDMI_RX_CEC,21008,K27
SENSOR_IF1_D7_N,10704,K36
SENSOR_IF1_CLK2_P,11013,K37
WLAN_FASTWR3,12506,L1
WLAN_RF_SHDN1,11609,L2
WLAN_ANT_SEL0_0,11611,L3
WLAN_PA_ON1,12707,L4
WLAN_ANT_SEL0_1,21311,L5
WLAN_RF_STBY1,21309,L6
WLAN_RX_HP1,12009,L7
WLAN_ANT_SEL1_0,12007,L8
WLAN_ANT_SEL1_1,12002,L9
AFE_ADC0_VCMOUTI,21113,L14
LVDS_TX_1_P,12302,L20
LVDS_TX_1_N,12304,L21
XTAL2_IN,10910,L23
MIPI_RX_1_CLKN,10204,L27
MIPI_RX_1_CLKP,10202,L28
SENSOR_IF1_D6_N,10116,L30
SENSOR_IF1_D8_N,11204,L31
SENSOR_IF1_D8_P,11202,L32
SENSOR_IF1_CLK1_P,10513,L34
SENSOR_IF1_CLK1_N,10515,L35
SENSOR_IF1_D4_N,11003,L36
SENSOR_IF1_D7_P,10702,L37
WLAN_PA_ON0,12504,M1
WLAN_FASTWR4,12608,M2
WLAN_RX_ON1,21313,M3
WLAN_FASTWR1,21315,M5
WLAN_FASTWR6,21316,M6
WLAN_FASTWR5,21314,M7
WLAN_RX_HP0,21312,M8
WLAN_FASTWR0,21310,M9
WLAN_FASTWR7,12604,M10
MIPI_RX_0_DATAN0,10711,M27
MIPI_RX_0_DATAP0,10709,M28
SENSOR_IF1_D6_P,10114,M29
SENSOR_IF1_D3_P,10810,M30
SENSOR_IF1_D3_N,10812,M31
SENSOR_IF1_D1_N,10507,M32
SENSOR_IF1_D1_P,10505,M33
SENSOR_IF1_D2_P,10809,M34
SENSOR_IF1_D2_N,10811,M35
SENSOR_IF1_D0_P,10802,M36
SENSOR_IF1_D4_P,11001,M37
WLAN_RF_SHDN0,12501,N1
WLAN_RF_STBY0,12514,N2
SENSOR_IF1_CLK0_N,10816,N36
SENSOR_IF1_D0_N,10804,N37
WLAN_RX_ON0,12512,P1
WLAN_FASTWR2,12503,P2
WLAN_TX_ON0,12513,P3
NAND_IO_DQ_12,11907,P4
NAND_IO_DQ_15,12705,P5
NAND_IO_DQ_6,12003,P6
NAND_IO_DQ_7,11914,P7
NAND_IO_DQ_9,11916,P8
NAND_IO_DQ_11,12005,P9
XTAL3_OUT,11711,P10
NC,21007,P29,21106,P30,21107,P31,21101,P32,20713,P33,20613,P36,20905,R28,20903,R29,20710,R30,20711,R31,20715,R32,20709,R33,20712,R34,20516,R35,20515,R36,20612,R37,20608,T36,20514,T37,20910,U28,20513,U29,10610,U30,10509,U31,10316,U32,10314,U33,10315,U34,10414,U35,10313,U36,20607,U37,10416,V28
SENSOR_IF1_D5_P,10713,P34
SENSOR_IF1_D5_N,10715,P35
SENSOR_IF1_CLK0_P,10814,P37
NAND_WP_L_0,12016,R1
NAND_IO_DQ_0,12516,R2
NAND_IO_DQ_8,12505,R3
NAND_IO_DQ_10,11905,R4
NAND_IO_DQ_1,12508,R5
NAND_WP_DQS_OUT,21404,R6
NAND_CE,12001,R7
NAND_IO_DQ_4,11906,R8
NAND_IO_DQ_2,20915,R9
NAND_IO_DQ_13,20913,R10
XTAL3_IN,11812,R11
NAND_CLE,12616,T1
NAND_ALE,12515,T2
ETH_RXDV,13209,U1
NAND_RB,12612,U2
NAND_RE,11811,U3
NAND_WE,12507,U4
NAND_IO_DQ_3,12510,U5
NAND_WP_DQS,12014,U6
NAND_IO_DQ_5,12004,U7
NAND_IO_DQ_14,12209,U8
ETH_RXD1,12208,U9
ETH_MDIO,11908,U10
ETH_MDC,12006,U11
ETH_CLK_RX,12610,V1
ETH_RXD0,12509,V2
ETH_TXD1,12402,V3
ETH_TXD2,12502,V4
ETH_TXD3,12404,V5
ETH_RXER,11813,V8
ETH_RXD2,11901,V9
ETH_INT,12210,V10
ETH_RXD3,12614,V11
I2S0_BCLK_IN,10716,V29
I2S0_DOUT4,20511,V30
I2S0_DOUT1,20510,V31
I2S0_DOUT3,20509,V32
I2S0_DOUT2,20508,V33
I2S0_LRCLK,20507,V34
I2S0_BCLK,20604,V35
I2S0_DOUT0,10104,V36
I2S0_MCLK,20512,V37
ETH_CLK_TX,13201,W1
ETH_CRS,12611,W2
I2S0_DOUT5,20708,W36
I2S0_LRCLK_IN,10710,W37
SDHOST_C1_WP,11805,Y1
SDHOST_C2_CMD,12511,Y2
SDHOST_C2_DATA1,11903,Y3
SDHOST_C2_VOL_SEL_1,12613,Y4
ETH_TXEN,12615,Y5
ETH_CLK,11912,Y6
ETH_TXD0,11710,Y7
SDHOST_C2_VOL_SEL_2,11807,Y8
SDHOST_C2_VOL_ON,12103,Y9
SPDIF_OUT,10211,Y28
SPDIF_IN,12109,Y29
I2S1_BCLK_IN,10609,Y30
I2S0_DIN4,10310,Y31
I2S0_DIN5,10102,Y32
I2S1_MCLK,10714,Y33
I2S0_DIN0,10712,Y34
I2S0_DIN2,20605,Y36
I2S0_DIN1,20505,Y37
